show_id,rating,duration,listed_in,description
s78,TV-Y7,48 min,"Children & Family Movies, Comedies",Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
s79,TV-14,145 min,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
s80,TV-14,145 min,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
s81,TV-Y7,93 min,Children & Family Movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
s82,R,106 min,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
s83,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas","Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
s84,TV-MA,1 Season,Reality TV,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize."
s85,TV-MA,147 min,"Action & Adventure, Comedies, Dramas","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
s86,TV-Y7,1 Season,"Anime Series, Kids' TV","As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!"
s87,TV-MA,87 min,"International Movies, Thrillers",A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
s88,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.
s89,PG-13,96 min,"Documentaries, Sports Movies","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
s90,TV-Y7,4 Seasons,Kids' TV,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!"
s91,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers","Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."
s92,TV-14,92 min,"Documentaries, International Movies",This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
s93,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.
s94,TV-MA,91 min,"Dramas, International Movies, Romantic Movies","Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
s95,PG,90 min,"Children & Family Movies, Comedies",A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
s96,TV-MA,3 Seasons,Reality TV,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
s97,TV-MA,97 min,"Documentaries, Music & Musicals","Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
s98,TV-Y7,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.
s99,TV-Y,1 Season,"British TV Shows, Kids' TV","The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk."
s100,TV-MA,1 Season,"TV Comedies, TV Dramas","Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA."
s101,TV-Y7,2 Seasons,Kids' TV,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil."
s102,TV-MA,80 min,"Documentaries, Sports Movies","Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
s103,TV-14,1 Season,"Docuseries, Science & Nature TV","From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission."
s104,TV-MA,117 min,"Dramas, International Movies, Thrillers",A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
s105,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows","As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day."
s106,TV-14,128 min,"Action & Adventure, Comedies, Dramas","After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
s107,TV-G,5 Seasons,"Kids' TV, TV Comedies","The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met."
s108,G,90 min,"Children & Family Movies, Dramas","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
s109,TV-G,1 Season,"Kids' TV, TV Dramas, Teen TV Shows","On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
s110,TV-MA,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
s111,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows","The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series."
s112,TV-Y,1 Season,Kids' TV,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure."
s113,PG-13,119 min,Dramas,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."
s114,TV-PG,110 min,"Comedies, Romantic Movies",Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
s115,TV-14,143 min,"Dramas, International Movies, Thrillers","A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
s116,PG,119 min,"Dramas, Romantic Movies",This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
s117,TV-PG,114 min,"Comedies, Dramas, Independent Movies",A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
s118,PG-13,94 min,Documentaries,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
s119,TV-14,106 min,"Dramas, International Movies, Thrillers","When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
s120,TV-MA,99 min,"Dramas, International Movies, Romantic Movies","After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic."
s121,TV-Y7,1 Season,"Kids' TV, TV Comedies","After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers."
s122,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world."
s123,R,118 min,Thrillers,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
s124,TV-Y7,1 Season,Kids' TV,"Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood."
s125,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows","On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur."
s126,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies","A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!"
s127,TV-14,115 min,"Dramas, International Movies, Romantic Movies",A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
s128,PG,95 min,"Children & Family Movies, Comedies",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
s129,PG-13,115 min,"Dramas, International Movies, Thrillers","When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family."
s130,PG-13,108 min,Dramas,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
s131,TV-Y,63 min,"Children & Family Movies, Music & Musicals","At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends."
s132,R,117 min,"Action & Adventure, Classic Movies, Cult Movies","In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
s133,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.
s134,R,121 min,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
s135,PG-13,142 min,"Action & Adventure, Dramas","When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
s136,R,113 min,Action & Adventure,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
s137,R,154 min,"Dramas, Romantic Movies","This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
s138,PG,95 min,"Action & Adventure, Comedies","When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
s139,PG-13,108 min,"Dramas, Romantic Movies","While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
s140,R,120 min,"Classic Movies, Comedies, Dramas","On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
s141,TV-MA,100 min,"Dramas, International Movies, Thrillers",A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
s142,R,82 min,Action & Adventure,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
s143,PG-13,124 min,Dramas,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
s144,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
s145,R,104 min,"Comedies, Cult Movies","Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
s146,R,94 min,"Comedies, Cult Movies, Music & Musicals","Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
s147,R,94 min,"Comedies, Music & Musicals","After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
s148,TV-PG,1 Season,Reality TV,"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right, ol' son."
s149,TV-14,1 Season,TV Shows,"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business."
s150,R,93 min,"Action & Adventure, Comedies","After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
s151,R,97 min,Thrillers,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
s152,TV-14,109 min,"Action & Adventure, International Movies","By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel."
s153,TV-MA,88 min,Comedies,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
s154,TV-Y,2 Seasons,Kids' TV,"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning."
s155,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows","Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory."
s156,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies","In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
s157,PG,105 min,"Comedies, Dramas, Romantic Movies","By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
s158,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers","In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
s159,PG-13,101 min,"Comedies, Romantic Movies",A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
s160,TV-MA,103 min,"Comedies, Dramas, International Movies","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
s161,TV-PG,4 Seasons,TV Comedies,"When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command."
s162,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy","As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace."
s163,PG-13,118 min,Dramas,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer."
s164,R,86 min,"Comedies, Romantic Movies","A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush."
s165,PG-13,121 min,"Action & Adventure, Comedies",A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.
s166,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.
s167,R,229 min,"Classic Movies, Dramas",Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.
s168,PG,76 min,"Children & Family Movies, Comedies",Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.
s169,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies",Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.
s170,PG-13,98 min,"Action & Adventure, Dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
s171,R,89 min,"Documentaries, Music & Musicals","The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
s172,PG-13,120 min,"Dramas, Faith & Spirituality",A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.
s173,PG-13,110 min,"Comedies, Music & Musicals","Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."
s174,PG-13,83 min,"Documentaries, LGBTQ Movies","The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour."
s175,R,121 min,"Action & Adventure, Dramas","A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care."
s176,R,105 min,"Dramas, Romantic Movies","Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise."
s177,PG-13,94 min,"Action & Adventure, Comedies",A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.
